"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT08"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-23","12.75",,"0.00","0.0","0.0","70","75","61","  360","  350","23.0","30.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-24","9.62",,"0.00","0.0","0.0","62","68","54","  120","  130","18.1","23.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-25","7.61",,"0.00","0.0","0.0","58","65","51","  150","  140","16.1","21.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-26","8.95",,"0.00","0.0","0.0","59","67","52","  160","  170","16.1","21.0","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-27","12.75",,"0.05","0.0","0.0","65","73","62","  200","  180","25.1","32.0","    1","    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-28","10.51",,"0.16","0.0","0.0","67","75","62","  240","  300","21.0","33.1","    1","    1","    1",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-29","7.61",,"0.00","0.0","0.0","69","74","61","  170","  160","15.0","18.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-30","10.51",,"0.00","0.0","0.0","69","80","60","  180","  180","23.9","29.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-31","11.18",,"0.00","0.0","0.0","79","94","63","  190","  340","21.0","29.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-06-01","9.62",,"1.36","0.0","0.0","64","67","59","  130","  130","19.9","25.1","    1",,"    1",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-06-02","7.83",,"0.30","0.0","0.0","66","75","60","  260","  280","21.0","25.1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-06-03","5.59",,"0.00","0.0","0.0","66","69","61","  180","  180","13.0","14.1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-06-04","6.71",,"0.00","0.0","0.0","67","75","57","  180","  170","21.0","25.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-06-05","7.61",,"0.00","0.0","0.0","66","74","56","  160","  170","14.1","19.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-06-06","10.07",,"0.00","0.0","0.0","68","77","58","  180","  180","21.9","25.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-06-07","16.78",,"0.04","0.0","0.0","68","75","58","  170","  160","25.9","36.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-06-08","11.41",,"0.00","0.0","0.0","73","84","67","  190","  190","21.9","27.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-06-09","18.12",,"0.60","0.0","0.0","74","84","64","  270","  270","30.0","36.9","    1","    1","    1",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-06-10","10.96",,"0.00","0.0","0.0","71","80","63","  180","  260","21.0","23.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-06-11","8.28",,"0.00","0.0","0.0","71","80","65","  210","  210","16.1","19.9",,,"    1",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-06-12","10.51",,"0.15","0.0","0.0","67","72","63","  200","  200","21.9","27.1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-06-13","7.83",,"0.00","0.0","0.0","72","79","66","  190","  190","17.0","21.0","    1","    1",,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-06-14","7.83",,"0.00","0.0","0.0","73","80","66","   20","   40","14.1","18.1",,,,,
